date,close,open,max,min,volume,return,comments,sentiment_sum,positive,negative
2023-09-20,253.77,252.8,255.47,249.82,66830000,0.42,190.0,-25.778297882527117,75,115
2023-09-19,252.72,258.99,259.32,251.5,89550000,-2.45,171.0,-30.71886080596596,59,112
2023-09-18,259.07,262.02,263.0,258.76,29040000,-0.67,89.0,-3.481636753305793,45,44
2023-09-15,260.83,259.65,262.74,258.56,35580000,0.32,134.0,-19.81212551472709,55,79
2023-09-14,260.0,258.9,261.38,255.02,46230000,0.7,158.0,-27.303914892021567,62,96
2023-09-13,258.18,262.4,262.77,257.59,30050000,-1.61,164.0,-43.105161047074944,54,110
2023-09-12,262.4,257.7,262.4,257.09,45160000,2.4,167.0,-25.34191683819517,61,106
2023-09-11,256.25,257.0,258.37,255.16,43280000,0.22,132.0,-15.843892669305204,57,75
2023-09-08,255.68,258.08,259.33,253.1,49560000,-1.2,153.0,-10.249132293276489,68,85
2023-09-07,258.79,263.69,264.97,256.1,67690000,-1.79,138.0,-17.325737930834293,53,85
2023-09-06,263.5,264.33,264.68,262.31,28340000,-0.47,109.0,-14.648237878456712,44,65
2023-09-05,264.75,266.74,267.98,261.09,39810000,-0.99,126.0,-23.15526911150664,45,81
2023-09-04,267.39,266.5,269.11,266.0,48140000,0.9,109.0,-12.410666714888066,45,64
2023-09-01,265.0,265.4,265.62,264.06,19270000,0.06,63.0,-1.4408464040607214,30,33
2023-08-31,264.85,265.04,266.25,264.3,22580000,0.06,61.0,-7.215251516550779,21,40
2023-08-30,264.7,265.68,267.36,263.1,38600000,-0.37,115.0,-7.39668896002695,51,64
2023-08-29,265.68,266.7,267.56,265.14,35410000,-0.47,131.0,-28.46425405237824,42,89
2023-08-28,266.93,261.32,267.83,260.81,57900000,2.47,140.0,-12.375373050570488,62,78
2023-08-25,260.5,258.8,261.6,257.61,28580000,0.34,105.0,-17.044225106947124,37,68
2023-08-24,259.63,257.63,259.94,256.4,26980000,1.26,100.0,-4.614734277129173,53,47
2023-08-23,256.4,261.5,261.83,256.0,53120000,-1.93,184.0,-18.031911457888786,80,104
2023-08-22,261.45,261.92,262.11,259.81,25950000,0.11,83.0,-19.529206424951557,24,59
2023-08-21,261.15,262.44,263.06,259.51,35770000,0.0,69.0,-8.908496520482004,22,47
2023-08-18,261.14,258.4,261.37,257.35,31060000,1.02,93.0,-5.533796953968704,45,48
2023-08-17,258.5,257.15,258.8,255.5,35940000,0.97,118.0,-18.945717160589997,49,69
2023-08-16,256.02,261.29,261.68,254.33,71820000,-1.69,196.0,-29.34469642210752,68,128
2023-08-15,260.42,259.0,264.17,256.63,59230000,-0.01,168.0,-13.969761403277516,82,86
2023-08-14,260.45,267.37,268.77,259.15,86720000,-2.17,153.0,-25.351331925950944,58,95
2023-08-11,266.23,267.26,267.4,264.8,24850000,-0.25,104.0,-10.175910801626742,45,59
2023-08-10,266.91,264.73,267.5,263.96,37290000,1.14,96.0,-14.777025214862078,37,59
2023-08-09,263.91,265.47,265.8,263.05,34990000,-0.27,141.0,-9.26499841734767,61,80
